Country,Hospital Name,X Coordinate,Y Coordinate
Argentina,Hospital de Ninos Ricardo,-34.39,-58.41
Bolivia,Clinica Foianini,-17.7919745,-63.1797986
Bolivia,Hospital San Juan de Dios,-17.77881385,-63.18663344
Bolivia,Hospital Universitario Japones,-17.7729315,-63.1545897
Bolivia,Hospital de Ninos Mario Ortis Suarez,-17.3472583,-63.2521657
Bolivia,Hospital Frances,-17.854802,-63.191426
Bolivia,Hospital Municipal Plan Tres Mil,-17.8391557,-63.1092827
Brazil,João XXIII Hospital,-19.93,-43.93
Chile,Hospital Dr. Sotero del Rio,-33.58,-70.58
Colombia,Hospital Universitario del Valle,3.43,-76.55
Colombia,Fundacion Valle de Lili,3.37,-76.53
Colombia,San Vicente Fundacion,6.26,-75.57
Colombia,Hospital Universitario de Neiva,2.93,-75.28
El Salvador,Benjamin Bloom Pediatric Hospital,13.71,-89.2
El Salvador,Nueva Conception Hospital,14.13,-89.29
Guatemala,Hospital General San Juan de Dios,14.64,-90.54
Guyana,Georgetown Public Hospital,6.82,-58.16
Honduras,Universidad Nacional Autonoma de Honduras,14.08,-87.16
Honduras,Western Honduras Hospital,14.77,-88.78
Nicaragua,Leon Hospital (Probably Oscar Danilo Rosales Hospital School Argüello),12.43,-86.88
Nicaragua,Fernando Velez Paiz,12.12,-86.31
Nicaragua,Hospital Escuela Antonio Lenin Fonseca Martínez,12.15,-86.31
Nicaragua,Hospital Regional Santiago Jinotepe,11.84,-86.2
Panama,Santo Tomas,8.79,-79.53
Paraguay,Hospital de Clinicas,-25.28,-57.65
Peru,Hospital Regional Loreto,-3.73,-73.25
Peru,Hospital Vitarte,-12.03,-76.92
Uruguay,Hospital Maciel Montevideo,-34.91,-56.21
